OTU_ID	GW001	GW002	GW003	GW004	GW005	GW006	GW009	GW010	GW011	GW012	GW013	GW014	GW015	GW016	GW017	GW018	GW019	GW021	GW023	GW024	GW025	GW026	GW027	GW028	GW029	GW030	GW032	GW034	GW035	GW036	GW037	GW038	GW039	GW040	GW041	GW042	GW043	GW045	GW046	GW047	GW048	GW049	GW050	GW051	GW052	GW053	GW054	GW055	GW056	GW057	GW058	GW059	GW060	GW061	GW062	GW063	GW064	GW065	GW066	GW067	GW068	GW069	GW070	GW071	GW072	GW073	GW074	GW075	GW076	GW077	GW078	GW079	GW080	GW081	GW082	GW083	GW084	GW085	GW086	GW087	GW088	GW089	GW090	GW091	GW092	GW093	taxonomy
ITS_SV34	0	0	9	14	22	0	0	0	0	633	0	0	1333	0	272	0	0	677	0	0	0	0	0	466	0	74	0	0	0	0	1665	0	107	53	0	0	0	0	0	0	0	0	528	0	0	0	305	0	0	0	0	0	714	0	0	0	343	0	0	0	0	0	43	160	0	0	0	1069	0	91	47	0	0	0	0	0	0	48	0	0	0	0	251	78	0	0	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;endophyticum
ITS_SV35	0	0	249	614	247	0	0	0	15	0	0	0	216	0	0	0	0	0	58	0	0	66	17	407	84	36	20	0	0	0	2623	0	0	417	0	0	641	290	0	0	23	0	0	0	0	47	0	191	220	122	0	9	0	0	0	235	0	0	0	0	156	0	37	0	0	638	0	0	220	0	231	0	0	282	26	0	0	0	0	103	23	0	0	0	144	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;subcucurbitae
ITS_SV36	0	0	0	13	13	0	0	0	0	109	0	0	0	0	0	0	0	254	0	0	0	0	9	17	0	0	0	137	49	0	0	0	0	0	0	0	20	76	0	0	0	394	449	9	25	1002	1074	9	561	17	527	0	987	247	8	70	214	224	25	31	19	51	0	179	507	360	0	267	0	20	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;equiseti
ITS_SV38	0	0	9	0	0	0	0	0	0	10	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	50	70	0	0	409	234	3	28	872	1065	4	461	12	923	0	1074	133	0	110	233	272	0	17	7	25	0	186	609	383	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Unclassified
ITS_SV39	0	0	0	0	15	89	0	91	457	60	14	0	291	0	153	0	0	262	0	0	83	25	0	48	0	98	0	227	98	0	183	0	108	335	124	0	21	0	0	3	0	0	310	0	39	29	375	0	28	0	168	85	159	0	0	0	165	14	0	0	0	0	81	489	41	0	51	0	0	125	150	0	0	0	35	0	0	38	1427	72	0	227	320	13	6	29	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;sphaerospermum
ITS_SV40	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2003	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	12	0	0	0	1057	0	0	21	0	0	0	0	212	0	0	0	0	56	1199	0	0	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;eucalypti
ITS_SV41	0	0	0	1733	295	0	0	0	0	0	0	0	0	0	0	0	150	0	23	1201	0	0	0	0	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	108	0	108	0	0	0	0	0	0	0	0	55	0	0	0	58	0	0	0	530	343	0	0	0	0	0	0	0	0	0	0	0	0	269	35	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Unclassified
ITS_SV42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	74	0	0	0	1285	36	0	0	0	0	0	0	0	0	0	199	15	0	0	4	0	0	0	0	0	0	1156	0	1631	0	0	0	0	0	0	0	0	0	0	201	4	23	0	0	0	0	0	499	0	4	0	0	96	0	0	4	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Cercospora;Unclassified
ITS_SV43	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	162	0	0	230	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	130	82	178	0	0	0	0	0	0	0	0	146	0	0	170	0	0	0	0	142	0	401	9	0	0	0	0	0	0	156	0	0	0	0	121	0	0	0	0	2578	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;subcucurbitae
ITS_SV44	0	0	0	0	0	0	0	0	0	0	0	3471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	7	0	0	0	0	0	0	0	0	0	0	6	48	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	5	0	0	0	0	0	0	Fungi;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
ITS_SV46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	1824	0	0	0	0	590	255	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Unclassified
ITS_SV48	76	0	9	0	0	0	0	0	0	0	0	0	0	11	107	23	0	0	0	0	0	0	0	45	0	0	58	0	0	0	0	0	238	0	0	152	0	0	305	0	82	0	0	29	189	0	0	131	181	249	40	0	0	0	0	0	0	8	0	0	119	546	0	31	58	17	0	0	111	89	0	0	277	231	0	0	48	0	0	13	0	0	53	8	0	217	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;aphidis
ITS_SV50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1226	2205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;subcucurbitae
ITS_SV51	0	0	139	166	0	0	0	0	171	0	0	0	93	0	0	0	0	0	0	0	0	98	0	121	0	7	0	0	357	0	1143	0	0	26	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	451	0	0	0	235	0	0	0	0	0	60	0	0	0	75	0	0	0	32	0	0	0	45	0	0	0	0	0	27	0	0	0	0	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Unclassified
ITS_SV52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;cerevisiae
ITS_SV54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	1437	276	0	0	0	130	52	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae;Paramyrothecium;Unclassified
ITS_SV56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	Fungi;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
ITS_SV57	0	0	0	0	0	0	0	59	0	39	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	16	0	0	35	542	9	0	384	438	0	147	0	230	0	407	32	0	0	67	156	0	0	0	9	0	22	180	63	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	Fungi;Mucoromycota;Mucoromycotina_cls_Incertae_sedis;Mucoromycotina_ord_Incertae_sedis;Mucoromycotina_fam_Incertae_sedis;Bifiguratus;adelaidae
ITS_SV58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum;silvicola
ITS_SV60	0	0	290	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	105	0	0	0	251	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	616	0	6	0	0	0	0	0	0	0	1433	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Torulaceae;Torula;fici
ITS_SV61	0	0	0	819	96	0	0	0	0	0	0	0	0	0	0	0	68	0	24	187	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	82	0	0	0	0	0	0	3	0	32	0	0	0	15	0	0	0	330	0	0	0	0	0	0	0	699	0	0	0	0	0	126	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;randhawae
ITS_SV62	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044	0	0	0	0	172	0	0	6	0	0	0	0	0	0	0	0	0	0	0	654	10	0	0	0	0	0	0	38	0	0	0	0	0	0	0	294	0	0	0	0	446	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Pseudopithomyces;angolensis
ITS_SV63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Unclassified;Unclassified;Unclassified
ITS_SV64	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	35	0	995	1046	0	0	0	0	0	0	11	0	0	52	119	0	0	78	0	0	0	36	15	0	0	0	133	0	0	85	0	0	0	0	0	0	7	0	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Unclassified
ITS_SV65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;brassicae
ITS_SV66	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	374	0	64	140	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	588	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	0	68	0	0	0	0	0	0	0	0	7	8	0	0	0	69	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;hungarica
ITS_SV67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;cerevisiae
ITS_SV68	0	0	115	42	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	29	0	0	37	0	157	32	0	0	430	72	170	0	0	26	0	0	58	247	0	0	0	0	0	0	71	304	0	24	0	54	0	0	0	0	0	0	0	0	0	0	21	68	23	0	0	121	0	0	0	0	0	0	0	0	0	0	61	0	0	22	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;cladosporioides
ITS_SV69	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	15	0	50	0	0	0	0	0	0	0	0	0	0	14	348	0	16	0	0	0	0	4	0	0	0	0	72	0	0	1484	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;wieringae
ITS_SV70	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	43	0	0	0	0	20	459	0	0	230	0	109	0	0	0	0	0	0	0	0	0	0	560	159	0	0	115	0	0	0	57	0	0	0	0	297	0	0	105	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Unclassified;Unclassified;Unclassified;Unclassified
ITS_SV71	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Unclassified;Unclassified;Unclassified;Unclassified
ITS_SV72	0	0	5	9	305	0	0	24	0	0	0	0	0	10	7	0	0	14	0	133	46	0	0	0	0	0	0	16	134	0	0	10	6	4	27	67	0	86	29	0	0	458	78	0	134	225	65	0	6	0	0	0	6	0	0	0	18	13	0	0	0	0	0	10	22	11	0	52	0	8	0	0	0	0	0	0	0	6	0	0	0	9	0	0	0	17	Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;intermedia
