OTU_ID	GW001	GW002	GW003	GW004	GW005	GW006	GW009	GW010	GW011	GW012	GW013	GW014	GW015	GW016	GW017	GW018	GW019	GW021	GW023	GW024	GW025	GW026	GW027	GW028	GW029	GW030	GW032	GW034	GW035	GW036	GW037	GW038	GW039	GW040	GW041	GW042	GW043	GW045	GW046	GW047	GW048	GW049	GW050	GW051	GW052	GW053	GW054	GW055	GW056	GW057	GW058	GW059	GW060	GW061	GW062	GW063	GW064	GW065	GW066	GW067	GW068	GW069	GW070	GW071	GW072	GW073	GW074	GW075	GW076	GW077	GW078	GW079	GW080	GW081	GW082	GW083	GW084	GW085	GW086	GW087	GW088	GW089	GW090	GW091	GW092	GW093	taxonomy
ITS_SV3	3272	6	2167	4659	960	472	0	6	808	238	20	5	700	98	627	1421	640	710	496	1218	0	485	104	4487	942	138	214	162	9940	18610	3903	0	3000	1425	1816	14	3354	644	1718	0	745	6	79	277	7170	1333	0	2285	3236	3202	346	113	983	844	23	1911	1744	393	36	17	1244	7541	282	4302	2531	2394	130	191	1898	2014	1533	850	1412	5722	55	84	5044	416	0	236	112	6878	1038	181	530	1987	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;tenuissima
ITS_SV5	8085	0	464	96	24	0	76	470	762	0	43	0	476	52	724	607	0	0	0	198	0	309	69	404	1061	228	976	517	3453	3851	1137	29	3545	612	132	417	927	1572	3676	23	1996	0	0	1221	3033	1090	16	2888	2016	4538	2398	240	263	0	0	1255	150	297	61	0	1769	12686	164	374	4639	1225	197	407	3470	2709	547	290	3706	5044	260	0	20447	179	4440	388	38	0	515	993	0	745	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;cladosporioides
ITS_SV7	0	0	38	630	0	13	12	0	0	64	0	5	4	5	27919	0	2	8	4	0	0	0	0	7883	0	0	0	15	0	0	7649	0	7764	680	81	0	38	48	2	0	0	0	385	0	31	0	908	0	0	0	243	0	2788	0	4	27	2180	23	0	0	0	0	0	0	4	0	0	92	0	3921	3747	21	0	0	0	8	0	6710	0	707	65	0	14765	2401	12	4	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Acremonium;sclerotigenum
ITS_SV8	766	0	0	43	0	0	0	0	140	0	0	0	0	70	238	290	0	7	0	20	0	0	0	381	0	0	2323	141	602	0	689	0	3993	87	129	296	268	0	4998	0	990	0	0	694	5948	30	17	10774	3514	12219	922	0	307	0	0	19	311	77	0	0	8449	2368	0	47	1092	24	30	67	4346	1686	139	45	2885	7474	0	0	627	190	0	44	23	0	829	545	0	1399	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified
ITS_SV9	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	7	0	0	0	0	172	71	0	0	32	0	0	8	0	0	449	239	0	0	0	20	0	0	235	98	0	34	0	131	0	9	0	0	36	0	0	0	0	11	0	0	15	117	43	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;neoformans
ITS_SV11	5447	0	0	0	0	0	0	9	6	0	0	0	0	0	107	0	0	0	0	0	0	0	0	18	0	0	2044	0	0	0	0	0	685	0	0	0	0	0	21	0	0	0	0	0	100	0	0	4805	43	4094	0	0	11	0	0	0	5	24	4	0	3042	1060	0	0	39	0	0	0	4404	797	0	0	32	586	0	0	10374	20	0	0	5	0	0	181	0	191	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;hydrangeae-macrophyllae
ITS_SV12	317	11	570	95	39	11	13	112	704	0	0	0	378	8	8	409	12	4	9	47	0	586	33	83	684	274	260	0	2215	1487	736	12	1083	712	27	5	468	1203	814	0	122	3	52	88	4825	616	34	814	108	1291	159	397	120	33	5	667	587	468	0	6	970	989	220	75	307	784	135	69	1348	1169	351	0	2656	1831	122	0	874	12	0	79	5	19	194	85	0	1293	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified
ITS_SV13	2283	0	28	57	0	0	0	48	143	0	0	0	66	0	298	247	0	0	0	0	0	62	0	80	0	0	121	94	112	178	631	0	5905	103	0	0	124	166	2099	0	324	0	0	518	2507	0	32	282	751	437	529	0	100	0	0	30	29	171	0	18	317	4339	30	288	618	118	28	0	418	2669	46	0	245	448	40	0	6068	124	177	0	21	0	231	433	0	369	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified
ITS_SV14	0	0	0	0	3	0	0	5110	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	15529	0	0	0	0	0	0	5663	0	0	0	0	23	4	0	890	0	0	0	132	0	0	0	0	0	0	3740	66	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Golovinomyces;ambrosiae
ITS_SV15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	0	0	0	0	0	0	0	138	119	0	0	8	0	0	0	0	0	260	241	0	0	0	0	0	0	522	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;cerevisiae
ITS_SV16	109	38	182	36	14	0	0	0	572	0	0	0	242	0	0	0	31	0	0	0	0	1286	0	310	41	1510	0	0	650	742	0	0	0	0	0	31	4168	2422	215	0	9	0	0	24	4931	389	0	17	838	4	141	56	0	0	0	0	502	0	0	0	55	3745	282	28	110	0	109	0	0	0	0	0	0	0	373	0	21	0	0	11	92	0	0	0	13	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Neodidymelliopsis;ranunculi
ITS_SV18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	18	0	0	171	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;cerevisiae
ITS_SV19	1695	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	99	0	0	793	0	2482	0	0	0	0	0	0	0	0	0	0	96	382	0	0	0	0	0	0	6294	0	0	0	0	3971	0	0	3916	0	0	0	0	0	0	0	0	224	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;eucalypti
ITS_SV20	0	56	228	121	0	0	0	0	964	0	0	0	878	0	0	0	0	0	0	0	0	1095	0	472	58	7301	0	0	1484	125	373	0	0	36	0	0	2504	894	0	0	0	0	0	0	1314	0	0	0	0	0	0	97	0	0	0	0	308	0	0	0	0	139	330	0	0	0	162	0	0	0	0	0	0	0	208	0	0	0	0	0	63	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Neodidymelliopsis;ranunculi
ITS_SV21	1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2263	105	0	0	0	0	183	0	0	0	0	0	0	0	35	0	0	0	0	2	0	2848	0	1615	39	0	0	0	0	0	0	0	0	0	4690	134	0	0	22	0	0	0	2474	401	0	0	0	184	0	0	2364	0	0	0	0	0	0	89	0	173	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;Unclassified
ITS_SV22	847	0	51	339	7410	0	3	0	18	0	0	5	0	9	0	0	22	0	0	114	0	10	0	0	0	36	48	0	100	0	0	0	675	0	0	110	32	0	0	0	0	0	47	0	1187	65	0	203	33	206	0	7	113	7	4	60	39	48	0	0	351	2739	5	114	0	18	5	0	201	11	46	0	263	388	12	4	2440	3	0	0	8	0	0	14	47	149	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Unclassified
ITS_SV23	0	0	0	0	32	58	0	0	5	9986	0	0	0	0	54	0	0	5158	0	0	0	0	0	0	0	0	0	228	0	0	76	257	46	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1142	90	0	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Unclassified
ITS_SV24	0	0	33	3533	1947	0	0	0	0	0	0	0	0	0	0	0	3842	0	885	2575	0	0	0	0	79	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3906	0	0	0	0	0	0	0	0	114	0	0	109	58	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	Fungi;Ascomycota;Sordariomycetes;Sordariales;Unclassified;Unclassified;Unclassified
ITS_SV25	0	3	0	0	0	53	0	21	938	0	0	0	5898	0	273	0	0	281	0	0	0	15	0	623	0	147	0	203	0	17	1115	0	152	105	514	73	36	0	0	0	0	0	263	0	0	0	312	0	0	0	53	169	827	0	0	0	493	0	0	0	0	0	97	762	0	0	122	0	0	148	129	235	0	0	86	0	0	64	0	242	27	215	656	0	0	0	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified
ITS_SV26	107	0	1235	40	65	0	14	0	108	0	0	0	168	12	199	340	25	0	17	164	0	200	27	22	714	46	31	114	1565	364	0	0	22	550	25	0	662	22	523	0	0	0	0	32	1122	704	0	109	21	101	0	97	239	60	0	189	613	154	0	0	126	149	48	14	102	232	165	23	117	95	249	227	0	182	44	0	114	0	725	174	16	0	68	36	50	125	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;herbarum
ITS_SV27	419	0	153	66	0	0	0	37	80	4	0	0	65	0	0	0	0	0	0	24	0	91	6	51	33	67	0	0	1426	636	1690	16	0	0	0	0	863	97	210	0	46	0	0	94	3372	8	0	105	43	113	104	44	79	0	0	371	193	0	18	0	68	1213	12	0	60	69	94	3	29	0	14	39	49	157	10	7	276	0	485	0	11	0	0	0	11	0	Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium;pullulans
ITS_SV30	0	0	0	0	0	0	0	395	0	229	0	0	0	0	19	16	0	345	0	0	0	0	0	30	0	0	0	43	52	0	90	62	0	0	0	0	39	261	50	0	24	1046	596	24	29	1309	1249	13	694	0	1198	0	1259	261	0	139	183	331	0	38	0	30	0	254	522	384	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neocosmospora;rubicola
ITS_SV32	93	0	0	0	0	15	0	147	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	62	35	0	80	112	94	544	461	27	429	0	142	19	104	142	1080	0	70	0	0	160	624	0	0	245	670	349	20	0	0	0	0	30	47	107	0	0	211	487	22	25	418	0	0	493	218	228	0	32	305	438	0	14	1205	17	0	0	0	0	28	32	0	264	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;herbarum
ITS_SV33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	2817	0	0	0	0	0	0	0	0	0	0	165	0	5	0	0	0	0	0	1745	0	0	0	0	4446	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia;eucalypti
