OTU_ID	GW001	GW002	GW003	GW004	GW005	GW006	GW009	GW010	GW011	GW012	GW013	GW014	GW015	GW016	GW017	GW018	GW019	GW021	GW023	GW024	GW025	GW026	GW027	GW028	GW029	GW030	GW032	GW034	GW035	GW036	GW037	GW038	GW039	GW040	GW041	GW042	GW043	GW045	GW046	GW047	GW048	GW049	GW050	GW051	GW052	GW053	GW054	GW055	GW056	GW057	GW058	GW059	GW060	GW061	GW062	GW063	GW064	GW065	GW066	GW067	GW068	GW069	GW070	GW071	GW072	GW073	GW074	GW075	GW076	GW077	GW078	GW079	GW080	GW081	GW082	GW083	GW084	GW085	GW086	GW087	GW088	GW089	GW090	GW091	GW092	GW093	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
ITS_SV5	8085	0	464	96	24	0	76	470	762	0	43	0	476	52	724	607	0	0	0	198	0	309	69	404	1061	228	976	517	3453	3851	1137	29	3545	612	132	417	927	1572	3676	23	1996	0	0	1221	3033	1090	16	2888	2016	4538	2398	240	263	0	0	1255	150	297	61	0	1769	12686	164	374	4639	1225	197	407	3470	2709	547	290	3706	5044	260	0	20447	179	4440	388	38	0	515	993	0	745	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;cladosporioides	-	-	-	-	-	-	-	Unassigned	-
ITS_SV8	766	0	0	43	0	0	0	0	140	0	0	0	0	70	238	290	0	7	0	20	0	0	0	381	0	0	2323	141	602	0	689	0	3993	87	129	296	268	0	4998	0	990	0	0	694	5948	30	17	10774	3514	12219	922	0	307	0	0	19	311	77	0	0	8449	2368	0	47	1092	24	30	67	4346	1686	139	45	2885	7474	0	0	627	190	0	44	23	0	829	545	0	1399	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV12	317	11	570	95	39	11	13	112	704	0	0	0	378	8	8	409	12	4	9	47	0	586	33	83	684	274	260	0	2215	1487	736	12	1083	712	27	5	468	1203	814	0	122	3	52	88	4825	616	34	814	108	1291	159	397	120	33	5	667	587	468	0	6	970	989	220	75	307	784	135	69	1348	1169	351	0	2656	1831	122	0	874	12	0	79	5	19	194	85	0	1293	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV13	2283	0	28	57	0	0	0	48	143	0	0	0	66	0	298	247	0	0	0	0	0	62	0	80	0	0	121	94	112	178	631	0	5905	103	0	0	124	166	2099	0	324	0	0	518	2507	0	32	282	751	437	529	0	100	0	0	30	29	171	0	18	317	4339	30	288	618	118	28	0	418	2669	46	0	245	448	40	0	6068	124	177	0	21	0	231	433	0	369	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV24	0	0	33	3533	1947	0	0	0	0	0	0	0	0	0	0	0	3842	0	885	2575	0	0	0	0	79	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3906	0	0	0	0	0	0	0	0	114	0	0	109	58	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	Fungi;Ascomycota;Sordariomycetes;Sordariales;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV25	0	3	0	0	0	53	0	21	938	0	0	0	5898	0	273	0	0	281	0	0	0	15	0	623	0	147	0	203	0	17	1115	0	152	105	514	73	36	0	0	0	0	0	263	0	0	0	312	0	0	0	53	169	827	0	0	0	493	0	0	0	0	0	97	762	0	0	122	0	0	148	129	235	0	0	86	0	0	64	0	242	27	215	656	0	0	0	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV26	107	0	1235	40	65	0	14	0	108	0	0	0	168	12	199	340	25	0	17	164	0	200	27	22	714	46	31	114	1565	364	0	0	22	550	25	0	662	22	523	0	0	0	0	32	1122	704	0	109	21	101	0	97	239	60	0	189	613	154	0	0	126	149	48	14	102	232	165	23	117	95	249	227	0	182	44	0	114	0	725	174	16	0	68	36	50	125	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;herbarum	-	-	-	-	-	-	-	Unassigned	-
ITS_SV32	93	0	0	0	0	15	0	147	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	62	35	0	80	112	94	544	461	27	429	0	142	19	104	142	1080	0	70	0	0	160	624	0	0	245	670	349	20	0	0	0	0	30	47	107	0	0	211	487	22	25	418	0	0	493	218	228	0	32	305	438	0	14	1205	17	0	0	0	0	28	32	0	264	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;herbarum	-	-	-	-	-	-	-	Unassigned	-
ITS_SV34	0	0	9	14	22	0	0	0	0	633	0	0	1333	0	272	0	0	677	0	0	0	0	0	466	0	74	0	0	0	0	1665	0	107	53	0	0	0	0	0	0	0	0	528	0	0	0	305	0	0	0	0	0	714	0	0	0	343	0	0	0	0	0	43	160	0	0	0	1069	0	91	47	0	0	0	0	0	0	48	0	0	0	0	251	78	0	0	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;endophyticum	-	-	-	-	-	-	-	Unassigned	-
ITS_SV39	0	0	0	0	15	89	0	91	457	60	14	0	291	0	153	0	0	262	0	0	83	25	0	48	0	98	0	227	98	0	183	0	108	335	124	0	21	0	0	3	0	0	310	0	39	29	375	0	28	0	168	85	159	0	0	0	165	14	0	0	0	0	81	489	41	0	51	0	0	125	150	0	0	0	35	0	0	38	1427	72	0	227	320	13	6	29	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;sphaerospermum	-	-	-	-	-	-	-	Unassigned	-
ITS_SV41	0	0	0	1733	295	0	0	0	0	0	0	0	0	0	0	0	150	0	23	1201	0	0	0	0	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	108	0	108	0	0	0	0	0	0	0	0	55	0	0	0	58	0	0	0	530	343	0	0	0	0	0	0	0	0	0	0	0	0	269	35	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV44	0	0	0	0	0	0	0	0	0	0	0	3471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656	7	0	0	0	0	0	0	0	0	0	0	6	48	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	5	0	0	0	0	0	0	Fungi;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV48	76	0	9	0	0	0	0	0	0	0	0	0	0	11	107	23	0	0	0	0	0	0	0	45	0	0	58	0	0	0	0	0	238	0	0	152	0	0	305	0	82	0	0	29	189	0	0	131	181	249	40	0	0	0	0	0	0	8	0	0	119	546	0	31	58	17	0	0	111	89	0	0	277	231	0	0	48	0	0	13	0	0	53	8	0	217	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;aphidis	-	-	-	-	-	-	-	Unassigned	-
ITS_SV54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	1437	276	0	0	0	130	52	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae;Paramyrothecium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	Fungi;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV57	0	0	0	0	0	0	0	59	0	39	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	16	0	0	35	542	9	0	384	438	0	147	0	230	0	407	32	0	0	67	156	0	0	0	9	0	22	180	63	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	Fungi;Mucoromycota;Mucoromycotina_cls_Incertae_sedis;Mucoromycotina_ord_Incertae_sedis;Mucoromycotina_fam_Incertae_sedis;Bifiguratus;adelaidae	-	-	-	-	-	-	-	Unassigned	-
ITS_SV61	0	0	0	819	96	0	0	0	0	0	0	0	0	0	0	0	68	0	24	187	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	82	0	0	0	0	0	0	3	0	32	0	0	0	15	0	0	0	330	0	0	0	0	0	0	0	699	0	0	0	0	0	126	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;randhawae	-	-	-	-	-	-	-	Unassigned	-
ITS_SV68	0	0	115	42	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	29	0	0	37	0	157	32	0	0	430	72	170	0	0	26	0	0	58	247	0	0	0	0	0	0	71	304	0	24	0	54	0	0	0	0	0	0	0	0	0	0	21	68	23	0	0	121	0	0	0	0	0	0	0	0	0	0	61	0	0	22	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;cladosporioides	-	-	-	-	-	-	-	Unassigned	-
ITS_SV70	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	43	0	0	0	0	20	459	0	0	230	0	109	0	0	0	0	0	0	0	0	0	0	560	159	0	0	115	0	0	0	57	0	0	0	0	297	0	0	105	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV71	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV73	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	9	56	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	284	0	227	0	13	0	0	0	84	0	0	0	0	384	83	0	0	0	0	0	0	228	0	0	0	0	546	3	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiomycetes_ord_Incertae_sedis;Symmetrosporaceae;Symmetrospora;oryzicola	-	-	-	-	-	-	-	Unassigned	-
ITS_SV75	0	0	0	0	0	0	0	0	0	0	0	1979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	Fungi;Ascomycota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV78	0	0	0	0	60	0	0	0	0	0	0	0	0	0	207	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	34	0	0	0	0	0	183	0	0	0	0	0	14	0	0	0	0	0	0	8	0	0	0	0	0	42	0	0	1252	0	0	5	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV79	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	488	0	91	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811	0	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	Fungi;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV81	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	8	0	0	6	0	5	0	348	82	286	0	0	13	0	0	184	290	40	0	25	0	0	3	0	87	0	15	14	22	19	0	10	0	0	74	0	0	0	0	9	53	18	0	21	39	0	0	39	14	0	0	16	35	0	0	17	0	0	37	0	0	3	0	0	28	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV83	0	0	0	571	177	0	0	0	0	0	0	0	0	0	0	0	69	0	92	244	0	0	0	0	0	0	5	0	34	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	13	0	26	0	0	0	59	0	0	0	0	0	0	0	0	22	0	0	0	24	0	9	0	327	0	0	25	0	0	18	0	0	0	0	0	0	0	165	0	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;victoriae	-	-	-	-	-	-	-	Unassigned	-
ITS_SV86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	Fungi;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV88	0	0	0	519	0	0	0	0	13	0	0	0	3	0	0	0	0	0	25	28	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	947	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	43	0	0	0	0	0	3	0	0	0	0	0	0	0	13	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;albida	-	-	-	-	-	-	-	Unassigned	-
ITS_SV89	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	6	0	0	0	0	0	57	0	22	0	0	16	272	0	0	99	0	107	0	0	0	0	0	0	0	0	0	0	0	60	0	0	324	0	0	0	94	6	0	0	0	190	0	0	240	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiomycetes_ord_Incertae_sedis;Symmetrosporaceae;Symmetrospora;gracilis	-	-	-	-	-	-	-	Unassigned	-
ITS_SV91	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	115	0	160	0	0	0	0	0	0	0	0	0	0	192	179	0	0	0	0	0	0	123	0	0	0	0	231	0	0	343	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae;Erythrobasidium;yunnanense	-	-	-	-	-	-	-	Unassigned	-
ITS_SV92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Unclassified;Unclassified;Unclassified;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV94	6	0	0	556	622	0	0	0	0	0	0	0	0	0	0	0	16	0	9	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	0	0	0	9	0	0	0	177	0	0	14	0	0	0	0	0	0	0	0	0	0	52	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;globosa	-	-	-	-	-	-	-	Unassigned	-
ITS_SV95	0	0	0	550	186	0	0	0	0	0	0	0	0	0	0	0	115	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	26	0	0	0	10	59	0	0	186	0	0	0	6	0	0	0	0	0	0	0	0	0	73	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;globosa	-	-	-	-	-	-	-	Unassigned	-
ITS_SV99	0	0	0	0	0	0	0	0	31	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;leonuri	-	-	-	-	-	-	-	Unassigned	-
ITS_SV101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	102	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Kodamaea;ohmeri	-	-	-	-	-	-	-	Unassigned	-
ITS_SV107	0	0	0	533	159	0	0	0	21	0	0	0	0	0	0	0	118	0	0	25	0	0	0	0	0	45	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	131	0	0	0	0	0	0	0	0	26	0	11	0	13	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	10	66	0	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;albida	-	-	-	-	-	-	-	Unassigned	-
ITS_SV109	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	59	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	64	0	0	98	0	97	0	0	0	0	3	0	0	0	0	0	114	226	0	7	5	0	0	0	68	0	0	0	0	126	0	0	254	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Vishniacozyma;carnescens	-	-	-	-	-	-	-	Unassigned	-
ITS_SV116	0	2	109	0	0	0	0	0	51	0	0	0	16	0	0	0	0	0	0	0	0	59	0	0	0	19	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	477	0	0	0	0	17	0	16	0	0	0	0	31	0	0	0	37	0	20	0	0	0	0	0	0	0	0	0	0	43	5	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Dioszegia;Unclassified	-	-	-	-	-	-	-	Unassigned	-
ITS_SV117	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Libertasomycetaceae;Libertasomyces;aloeticus	-	-	-	-	-	-	-	Unassigned	-
ITS_SV123	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	25	306	0	0	40	0	0	0	23	0	0	0	0	31	0	0	240	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiomycetes_ord_Incertae_sedis;Symmetrosporaceae;Symmetrospora;symmetrica	-	-	-	-	-	-	-	Unassigned	-
ITS_SV124	0	0	50	33	0	0	0	0	72	0	0	0	8	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	79	209	0	0	0	0	0	0	248	105	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	92	0	0	0	0	0	10	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae;Erythrobasidium;yunnanense	-	-	-	-	-	-	-	Unassigned	-
ITS_SV127	0	5	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	17	496	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;picachoensis	-	-	-	-	-	-	-	Unassigned	-
ITS_SV134	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;Unclassified	-	-	-	-	-	-	-	Unassigned	-
