"","pair1","Tulare","Kern County","Temecula","Riverside","Ventura"
"1","San Diego",0.00825,0.00278571428571429,0.025,0.0785357142857143,0.0219
"2","Tulare",NA,0.3826,5e-04,0.0489230769230769,0.0012
"3","Kern County",NA,NA,5e-04,0.0220909090909091,5e-04
"4","Temecula",NA,NA,NA,0.0108333333333333,0.00075
"5","Riverside",NA,NA,NA,NA,0.002
