"","diff","lwr","upr","p adj"
"Riverside-Kern County",-0.0627473440265527,-0.257639187923251,0.132144499870145,0.930291407739819
"San Diego-Kern County",-0.455936149137832,-0.730702846169436,-0.181169452106228,0.000135570518727146
"Temecula-Kern County",-0.14461634614469,-0.306664903330929,0.0174322110415487,0.105604648254355
"Tulare-Kern County",-0.0491204869151696,-0.227251093458293,0.129010119627954,0.963172927458291
"Ventura-Kern County",-0.420969305423767,-0.627541494234314,-0.21439711661322,2.64129432769877e-06
"San Diego-Riverside",-0.39318880511128,-0.699431792705292,-0.0869458175172681,0.00491308056355022
"Temecula-Riverside",-0.0818690021181373,-0.292932415667218,0.129194411430944,0.858555359104156
"Tulare-Riverside",0.0136268571113831,-0.210021399399303,0.23727511362207,0.999971822304079
"Ventura-Riverside",-0.358221961397214,-0.605122951356406,-0.111320971438022,0.00105246503729717
"Temecula-San Diego",0.311319802993142,0.024855718823429,0.597783887162856,0.025822598675619
"Tulare-San Diego",0.406815662222663,0.110956828282434,0.702674496162892,0.00214694675965854
"Ventura-San Diego",0.0349668437140656,-0.278838837915556,0.348772525343687,0.999449620799501
"Tulare-Temecula",0.0954958592295204,-0.10019636521733,0.291188083676371,0.699874824941316
"Ventura-Temecula",-0.276352959279077,-0.498247084734249,-0.0544588338239049,0.00689616922441483
"Ventura-Tulare",-0.371848818508597,-0.605745763791761,-0.137951873225434,0.000272047012221721
