"","diff","lwr","upr","p adj"
"2019-2017",0.0601011702083575,-0.0776218019842757,0.197824142400991,0.655914426985842
"2020-2017",-0.164312489609719,-0.347169002891492,0.0185440236720548,0.0927209434964114
"2022-2017",-0.219501421999448,-0.389469477364056,-0.0495333666348409,0.0063614719500078
"2020-2019",-0.224413659818076,-0.400495341634832,-0.0483319780013209,0.00724452884343707
"2022-2019",-0.279602592207806,-0.442259882441831,-0.116945301973781,0.000175666578452138
"2022-2020",-0.0551889323897296,-0.257491382810555,0.147113518031096,0.887240403243663
