"","pair1","Tulare (SUS)","Edison Kern County","General Beale Kern County","Urban Site Kern County","Temecula","Riverside","Ventura","Tulare (RES)"
"1","San Diego",0.0240631578947368,0.03402,0.0117,0.0428571428571429,0.0384545454545455,0.0948774193548387,0.0240631578947368,0.1125
"2","Tulare (SUS)",NA,0.0240631578947368,0.186545454545455,0.207317647058824,0.0012,0.0787034482758621,0.012,0.0644
"3","Edison Kern County",NA,NA,0.0084,0.060336,0.0358285714285714,0.0159428571428571,0.0117,0.219908571428571
"4","General Beale Kern County",NA,NA,NA,0.0644,0.0012,0.01368,0.0012,0.02208
"5","Urban Site Kern County",NA,NA,NA,NA,0.0159428571428571,0.3118,0.0159428571428571,0.0428571428571429
"6","Temecula",NA,NA,NA,NA,NA,0.0159428571428571,0.00504,0.08484
"7","Riverside",NA,NA,NA,NA,NA,NA,0.00504,0.0658285714285714
"8","Ventura",NA,NA,NA,NA,NA,NA,NA,0.0240631578947368
