"","dada2_input","filtered","merged","nonchim","final_perc_reads_retained"
"GW001",39373,30318,29581,29461,74.8
"GW002",1148,293,224,224,19.5
"GW003",19907,9787,9483,9483,47.6
"GW004",54778,34890,33723,32392,59.1
"GW005",54919,34325,32997,32943,60
"GW006",12493,1115,954,954,7.6
"GW007",6,1,0,0,0
"GW008",40498,28599,28429,28429,70.2
"GW009",9598,1118,910,910,9.5
"GW010",67995,32496,31595,31595,46.5
"GW011",14473,8525,8265,8225,56.8
"GW012",27081,18303,18042,18042,66.6
"GW013",6588,444,324,324,4.9
"GW014",17272,7969,7600,7600,44
"GW015",23295,13577,13400,13128,56.4
"GW016",2171,657,548,548,25.2
"GW017",48429,36182,36037,36019,74.4
"GW018",14727,9831,9741,9741,66.1
"GW019",82140,56015,55089,55089,67.1
"GW020",29832,23009,22852,22852,76.6
"GW021",27080,11720,11470,11445,42.3
"GW022",46733,30062,29844,29138,62.3
"GW023",15494,5712,5476,5476,35.3
"GW024",89071,50015,48169,47838,53.7
"GW025",60415,50523,48581,48413,80.1
"GW026",10274,6039,5869,5869,57.1
"GW027",13306,1705,1442,1442,10.8
"GW028",33385,23977,23698,23698,71
"GW029",60448,40912,39579,39579,65.5
"GW030",32321,12388,12258,12258,37.9
"GW031",86113,55059,54719,53174,61.7
"GW032",26044,20287,19606,18897,72.6
"GW033",79781,46291,44355,44014,55.2
"GW034",51843,33114,32566,32368,62.4
"GW035",71863,44316,43637,43509,60.5
"GW036",64128,42012,40052,39720,61.9
"GW037",57969,43401,42565,42565,73.4
"GW038",27430,20094,18692,18504,67.5
"GW039",51637,40041,39674,38074,73.7
"GW040",14054,6262,6088,6057,43.1
"GW041",63173,37213,36446,36335,57.5
"GW042",61275,45409,43942,43942,71.7
"GW043",33439,22246,21956,21911,65.5
"GW044",64608,42956,42584,41536,64.3
"GW045",46690,30834,30410,30397,65.1
"GW046",50470,35991,34996,34298,68
"GW047",1493,187,161,161,10.8
"GW048",15767,7114,6720,6657,42.2
"GW049",94300,66661,63576,63182,67
"GW050",57644,41079,40183,40039,69.5
"GW051",15152,5907,5662,5662,37.4
"GW052",83410,60990,59982,58891,70.6
"GW053",44661,28233,27965,27824,62.3
"GW054",40500,27606,27024,26665,65.8
"GW055",86187,62965,61095,57585,66.8
"GW056",42882,31140,30235,29791,69.5
"GW057",89618,67500,65629,62442,69.7
"GW058",64630,42605,42126,41925,64.9
"GW059",9864,2947,2761,2761,28
"GW060",37221,27884,27721,27507,73.9
"GW061",76711,52318,51715,51676,67.4
"GW062",8000,628,446,446,5.6
"GW063",40716,24373,23891,23853,58.6
"GW064",22749,16050,15949,15924,70
"GW065",16838,11990,11852,11826,70.2
"GW066",16701,8204,7758,7758,46.5
"GW067",8733,1672,1304,1304,14.9
"GW068",65815,48780,46293,44649,67.8
"GW069",79411,55871,54357,53186,67
"GW070",14142,3440,3220,3220,22.8
"GW071",34484,17587,17409,17409,50.5
"GW072",37193,27067,26826,26674,71.7
"GW073",33665,20816,20569,20556,61.1
"GW074",7107,2997,2858,2858,40.2
"GW075",84182,58412,56100,54855,65.2
"GW076",62589,49801,47837,45024,71.9
"GW077",32157,23412,23238,22744,70.7
"GW078",22397,14597,14285,14055,62.8
"GW079",99444,79857,77335,77270,77.7
"GW080",44632,33206,32837,32542,72.9
"GW081",74094,57583,55447,53027,71.6
"GW082",5402,2307,2153,2153,39.9
"GW083",27267,13602,13361,13361,49
"GW084",92703,68428,64707,63333,68.3
"GW085",16427,12199,12061,11858,72.2
"GW086",50785,23692,23445,23336,46
"GW087",5773,3258,2961,2961,51.3
"GW088",12061,1757,1435,1435,11.9
"GW089",29118,14879,14067,13898,47.7
"GW090",29447,22118,21975,21945,74.5
"GW091",11594,7507,7391,7391,63.7
"GW092",13873,8019,7723,7723,55.7
"GW093",26673,20242,20027,19940,74.8
"GW094",27564,21012,20426,20426,74.1
"GW095",36825,11015,10607,10607,28.8
"GW096",10834,2574,2209,2198,20.3
