"","pair1","Edison Kern County","General Beale Kern County","Riverside","San Diego","Temecula","Tulare (RES)","Tulare (SUS)","Urban Site Kern County"
"1","General Beale Kern County",0.827711879282241,NA,NA,NA,NA,NA,NA,NA
"2","Riverside",0.87974195856397,1,NA,NA,NA,NA,NA,NA
"3","San Diego",0.656240667391333,0.0390781727062293,0.0617933339438805,NA,NA,NA,NA,NA
"4","Temecula",0.998225503580546,0.974698766675908,0.988116196252813,0.183681215015878,NA,NA,NA,NA
"5","Tulare (RES)",0.989341164183623,0.343286995808366,0.416522579037654,0.996178062997918,0.768125705826178,NA,NA,NA
"6","Tulare (SUS)",0.913336229585735,0.999999999999688,0.999999999999182,0.0811630701589685,0.994206227821179,0.473202082180664,NA,NA
"7","Urban Site Kern County",0.809503197791215,0.999982161964699,0.999991111217804,0.0638291789231902,0.958371284096413,0.369491533703243,0.999983309708561,NA
"8","Ventura",0.617951724046784,0.00814478743765845,0.0211481607345918,0.999998828505149,0.0777056458398128,0.999103721678321,0.0338862454219455,0.0315465165630632
