"","diff","lwr","upr","p adj"
"Riverside-Kern County",-0.110017054348904,-0.444794116156286,0.224760007458476,0.924110900036817
"San Diego-Kern County",0.260883395276329,-0.205940913748276,0.727707704300934,0.566528946366859
"Temecula-Kern County",0.192676312305045,-0.0819790255183321,0.467331650128421,0.314860082021758
"Tulare-Kern County",0.069816188378557,-0.227268982702064,0.366901359459178,0.981531594345785
"Ventura-Kern County",0.0952750058730109,-0.25871205308589,0.449262064831912,0.966649108532055
"San Diego-Riverside",0.370900449625233,-0.143514884477273,0.88531578372774,0.285920327480691
"Temecula-Riverside",0.302693366653949,-0.0467830346357031,0.652169767943601,0.124940382839588
"Tulare-Riverside",0.179833242727461,-0.187532786376339,0.547199271831262,0.69644343897035
"Ventura-Riverside",0.205292060221915,-0.209442841099236,0.620026961543067,0.686494883141809
"Temecula-San Diego",-0.0682070829712842,-0.545682746688592,0.409268580746023,0.998163855707032
"Tulare-San Diego",-0.191067206897772,-0.681788159908148,0.299653746112604,0.856180946093245
"Ventura-San Diego",-0.165608389403318,-0.692727249583622,0.361510470776986,0.936572089543183
"Tulare-Temecula",-0.122860123926488,-0.43641661456571,0.190696366712735,0.852901253024757
"Ventura-Temecula",-0.0974013064320337,-0.465321014869018,0.270518402004951,0.968928514513106
"Ventura-Tulare",0.0254588174944539,-0.359494369448432,0.410412004437339,0.999957477831527
