"","pair1","Edison Kern County","General Beale Kern County","Riverside","San Diego","Temecula","Tulare (RES)","Tulare (SUS)","Urban Site Kern County"
"1","General Beale Kern County",0.994154713256152,NA,NA,NA,NA,NA,NA,NA
"2","Riverside",0.999999998764771,0.981508487254489,NA,NA,NA,NA,NA,NA
"3","San Diego",0.558859958117967,0.879905490071073,0.466045392181683,NA,NA,NA,NA,NA
"4","Temecula",0.362447393048161,0.812204243688022,0.23143849042694,0.999966542381002,NA,NA,NA,NA
"5","Tulare (RES)",0.999999980690591,0.999870125857719,0.999999220048899,0.810268077056662,0.803886377186611,NA,NA,NA
"6","Tulare (SUS)",0.857281253278669,0.99783834334537,0.764033668539504,0.994859825633056,0.999044320187668,0.980946843044049,NA,NA
"7","Urban Site Kern County",0.988053871207393,0.999967629234585,0.977983116794485,0.998765359753139,0.999926916212541,0.998095404071704,0.999999999996088,NA
"8","Ventura",0.926965837622098,0.999698503533307,0.866645171844968,0.990100354389476,0.996866013186877,0.992117065118604,0.999999995272914,1
