"","dada2_input","filtered","merged","nonchim","final_perc_reads_retained"
"GW001",60665,32865,32647,32192,53.1
"GW002",43984,29751,29694,29662,67.4
"GW003",95877,62903,62810,62681,65.4
"GW004",80009,53478,53429,53341,66.7
"GW005",93497,61543,61421,61421,65.7
"GW006",99525,65899,65814,65641,66
"GW007",52642,37128,37104,37014,70.3
"GW008",51375,27159,23092,20799,40.5
"GW009",97525,62780,62497,62497,64.1
"GW010",86398,53374,50978,48382,56
"GW011",32803,22014,21992,21946,66.9
"GW012",69080,46567,46499,46469,67.3
"GW013",70141,43172,42819,42819,61
"GW014",18744,9994,9909,9258,49.4
"GW015",32450,21972,21933,21933,67.6
"GW016",44644,23240,22839,22839,51.2
"GW017",95385,57107,56947,56911,59.7
"GW018",79673,51983,51922,51842,65.1
"GW019",105163,69812,69747,69705,66.3
"GW020",16963,8559,8509,8283,48.8
"GW021",42525,30264,30236,30236,71.1
"GW022",49079,30287,29154,22388,45.6
"GW023",106990,71520,71443,71418,66.8
"GW024",77043,52865,52732,52732,68.4
"GW025",55977,31619,29425,26932,48.1
"GW026",22519,15397,15373,15368,68.2
"GW027",6559,3457,3150,3146,48
"GW028",47581,32521,32484,32432,68.2
"GW029",87676,50141,49695,49682,56.7
"GW030",82019,53241,53160,52976,64.6
"GW031",73777,44126,42660,34718,47.1
"GW032",45943,26626,26235,26166,57
"GW033",3157,1557,1527,1435,45.5
"GW034",20060,14068,13926,13914,69.4
"GW035",18860,10444,9735,9733,51.6
"GW036",90869,59554,59409,59343,65.3
"GW037",88198,58157,58088,57939,65.7
"GW038",79019,46204,44788,44690,56.6
"GW039",63615,41645,41496,41325,65
"GW040",44845,27970,27849,27756,61.9
"GW041",21225,12714,12394,12394,58.4
"GW042",82215,57827,57328,57328,69.7
"GW043",47344,31538,31450,31391,66.3
"GW044",64127,37553,36398,30547,47.6
"GW045",68809,35102,29752,26970,39.2
"GW046",41761,23057,22783,22783,54.6
"GW047",4780,3174,3090,3072,64.3
"GW048",80846,53905,53731,53728,66.5
"GW049",64488,33946,28490,25394,39.4
"GW050",18267,11199,11036,11004,60.2
"GW051",91017,60774,60376,60357,66.3
"GW052",67653,46202,46112,46050,68.1
"GW053",65437,41937,41828,41703,63.7
"GW054",52598,29930,26012,24086,45.8
"GW055",26707,16148,16012,15982,59.8
"GW056",76923,50621,50286,50283,65.4
"GW057",79972,45346,45242,45242,56.6
"GW058",59150,38101,38047,37966,64.2
"GW059",21712,14170,14153,14111,65
"GW060",77589,49361,49282,49042,63.2
"GW061",112035,73044,72577,72560,64.8
"GW062",40190,26441,26192,26117,65
"GW063",1816,984,855,855,47.1
"GW064",44128,27915,27881,27783,63
"GW065",73507,49969,49902,49726,67.6
"GW066",25223,14267,13665,13665,54.2
"GW067",114770,74587,74290,74247,64.7
"GW068",59966,39594,39535,39433,65.8
"GW069",95207,51316,49900,49840,52.3
"GW070",18227,12088,12059,12037,66
"GW071",94805,64208,64115,64115,67.6
"GW072",54142,37108,36996,36996,68.3
"GW073",2452,1660,1609,1609,65.6
"GW074",24159,15569,15536,15536,64.3
"GW075",97932,68352,67893,67867,69.3
"GW076",93246,52823,51931,51452,55.2
"GW077",59776,37557,37420,37198,62.2
"GW078",3320,2191,2182,2182,65.7
"GW079",49953,27248,26869,26848,53.7
"GW080",68572,45526,45483,45314,66.1
"GW081",70598,38966,38446,38440,54.4
"GW082",57387,38082,38035,37962,66.2
"GW083",90437,53118,52285,51886,57.4
"GW084",57539,34505,31949,31397,54.6
"GW085",55905,33699,33592,33516,60
"GW086",64971,33379,29164,26661,41
"GW087",48023,30511,30457,30360,63.2
"GW088",138596,84905,84586,84255,60.8
"GW089",75214,51178,51107,51081,67.9
"GW090",54870,37200,37126,36939,67.3
"GW091",58150,33729,33649,33603,57.8
"GW092",50754,32575,32539,32459,64
"GW093",66285,43675,43619,43474,65.6
"GW094",8857,4737,4451,4394,49.6
"GW095",96670,48374,40769,37672,39
"GW096",3731,1699,1693,1693,45.4
