"","diff","lwr","upr","p adj"
"2019-2017",0.201211408309027,-0.01702643867363,0.419449255291685,0.080784338359994
"2020-2017",-0.0580914396751709,-0.328965011349559,0.212782131999217,0.940790645319973
"2022-2017",0.198245200064586,-0.0634435317833809,0.459933931912552,0.197298602026059
"2020-2019",-0.259302847984198,-0.527789821844829,0.00918412587643236,0.0619617356709418
"2022-2019",-0.0029662082444416,-0.262183791902257,0.256251375413373,0.999989797800384
"2022-2020",0.256336639739757,-0.0485215070324925,0.561194786512006,0.128190624211763
